iter	Passed	Remaining
1630	24073	5446
1631	24087	5431
1632	24101	5416
1633	24115	5401
1634	24129	5386
1635	24146	5372
1636	24160	5357
1637	24175	5342
1638	24190	5328
1639	24204	5313
1640	24219	5298
1641	24233	5283
1642	24248	5268
1643	24262	5253
1644	24277	5239
1645	24291	5224
1646	24305	5209
1647	24320	5194
1648	24334	5179
1649	24349	5165
1650	24365	5150
1651	24382	5136
1652	24397	5121
1653	24413	5107
1654	24429	5092
1655	24443	5077
1656	24459	5063
1657	24475	5048
1658	24489	5033
1659	24504	5018
1660	24519	5004
1661	24534	4989
1662	24548	4974
